aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
tsla	1318605
baba	1577552
brk-a	1067983
tsm	1046179
v	1403161
wmt	104169
jnj	200406
jpm	19617
ma	1141391
pg	80424
spy	884394
unh	731766
nvda	1045810
dis	1744489
lvmuy	824046
hd	354950
pypl	1633917
idcby	1445468
bac	70858
vz	732712
adbe	796343
cmcsa	1166691
nflx	1065280
ko	21344
nke	320187
nvs	1114448
tm	1094517
t	732717
asml	937966
mrk	310158
pfe	78003
pdd	1737806
intc	50863
crm	1108524
pep	77476
orcl	1341439
abt	1800
orcl	1341439
cichy	1445474
tmo	97745
abbv	1551152
csco	858877
xom	34088
avgo	1730168
acn	1467373
cost	909832
qcom	804328
bhp	811809
nvo	353278
tmus	1283699
cihky	1495688
acgby	1501437
cvx	93410
ul	217410
dhr	313616
lly	59478
mcd	63908
mdt	1613103
sap	1000184
txn	97476
hon	773840
nee	753308
rtntf	887028
sftby	1065521
ups	1090727
bbl	1171264
rds-a	1306965
bmy	14272
bud	1668717
jd	1549802
lfc	1268896
unp	100885
lin	1707925
shop	1594805
azn	901832
amgn	318154
chtr	1091667
bachy	1378999
pm	1413329
c	831001
sne	313838
ms	895421
wfc	72971
qqq	1067839
sny	1121404
sbux	829224
low	60667
ry	1000275
chl	1117795
ba	12927
hesay	1436949
tot	879764
amd	2488
ibm	51143
ptr	1108329
blk	1364742
hsbc	1089113
hdb	1144967
rtx	101829
zm	1585521
now	1373715
td	947263
intu	896878
se	1703399
chdry	1450488
sq	1512673
schw	316709
mmm	66740
cat	18230
amt	1053507
rio	863064
lmt	936468
axp	4962
gsk	1131399
isrg	1035267
deo	835403
el	1001250
ge	40545
cvs	64803
gs	886982
dnngy	1679771
uber	1543151
syk	310764
frcoy	1446595
vale	917851
tgt	27419
ppruy	1445465
bkng	1075531
fis	1136893
chgcy	1453934
eadsy	1378580
bti	1303523
de	315189
byddy	1445162
nio	1736541
abnb	1559720
mdlz	1103982
mu	723125
sbgsy	923734
meli	1099590
tjx	109198
spgi	64040
amat	6951
antm	1156039
aiquy	1161167
snow	1640147
zts	1555280
cni	16868
cta-pa	30554
mo	764180
gild	882095
fisv	798354
dmlry	1067318
ci	1739940
njdcy	1158967
bidu	1329099
snap	1564408
infy	1067491
bdx	10795
hkxcy	1445476
pbr	1119639
adp	8670
cl	21665
pld	1045609
shecy	1442651
snp	1123658
bp	313807
atvi	718877
usb	36104
esloy	1085922
lrcx	707549
kddiy	1106215
beke	1809587
cb	896159
csx	277948
fdx	1048911
cci	1051470
bnpqy	310732
duk	1326160
ntes	1110646
shw	89800
adsk	769397
rbgly	1420798
enb	895728
cme	1156375
bns	9631
dkily	1446519
itw	49826
tfc	92230
ice	1571949
pnc	713676
so	92122
gpn	1123360
eqix	1101239
ecl	31462
safry	1364012
d	715957
bam	1001085
vrtx	875320
pstvy	1689565
nsc	702165
apd	2969
spot	1639920
abb	1091587
vmw	1124610
gm	1467858
team	1650372
mraay	1450468
mmc	62709
vcisy	1065198
race	1648416
pgr	80661
toely	1443276
tak	1395064
mufg	67088
ntoiy	1436791
ew	1099800
hca	860730
mco	1059556
wday	1327811
wbk	719245
hum	49071
san	891478
dell	1571996
itub	1132597
adi	6281
olcly	1545460
twlo	1447669
ilmn	1110803
